title,imdb_id,title_id,netflix_show_id,content_type,is_movie,primary_genre,genres_combined,release_year,decade,content_age,is_recent,date_added,has_date_added,description,description_word_count,title_length,director,has_director_info,cast,has_cast_info,character_names,credits_count,runtime_minutes,runtime_category,age_rating,imdb_score,has_imdb_score,tmdb_score,has_tmdb_score,user_rating,vote_average,combined_score,popularity,popularity_tier,vote_count,imdb_votes,country,language_code,is_netflix_original,is_duplicate_title,is_latest_version,has_runtime,has_language_code,is_date_missing
100 Humans: Life's Questions. Answered.,tt11823088,ts226588,,TV Show,False,Documentary,"Documentary, Reality",2020,2020,6,False,,False,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",21,39.0,,False,"Haley Bockrath, Tyanta Snow, Komalpreet Batth, Braxton Hale, Alfredo Tavares",True,"Human #64, Human #28, Human #84, Human #90, Human #72",5,37.0,Series,TV-14,5.7,True,6.4,True,,,6.05,3.447,Low,0,4055,US,,False,False,True,True,False,True
100 Meters,tt5089786,tm240733,s5578,Movie,True,Drama,"Drama, Comedy, European",2016,2010,10,False,2017-03-10,True,"Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",37,10.0,Marcel Barrena,True,"Dani Rovira, Alexandra Jiménez, Karra Elejalde, Nausicaa Bonnín, Maria de Medeiros, David Verdaguer, Andrea Trepat, Andrés Velencoso, Bruno Bergonzini, Clara Segura",True,"Ramón, Inma, Manolo, Ariadna, Noelia, Mario, Unknown, Unknown, Unknown, Unknown",14,108.0,Long,TV-MA,7.5,True,7.5,True,7.3,7.3,7.4,8.137,Low,289,6248,ES,es,False,False,True,True,True,False
100 Things to Do Before High School,,tm132675,s3315,Movie,True,Other,Other,2014,2010,12,False,2019-11-02,True,"With the pressures of high school in their near future, CJ and her two best friends decide to embark on a series of middle school adventures while they can still take risks and have fun.",35,35.0,,False,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",True,Unknown,0,44.0,Short,TV-Y,,False,,False,,,,0.0094417458789051,Very Low,0,0,US,,False,False,True,True,False,False
100 Years: One Woman's Fight for Justice,,,s5984,Movie,True,Documentary,Documentary,2016,2010,10,False,2018-03-20,True,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,20,40.0,Melinda Janko,True,,False,Unknown,0,75.0,Standard,TV-14,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
1000 Miles from Christmas,tt13782052,tm1013111,,Movie,True,Comedy,"Comedy, Romance, Fantasy, Family",2021,2020,5,True,,False,"A Christmas tale, a romantic comedy and the story of a man in his 30s who learns reluctantly to get carried away by the Christmas spirit.",26,25.0,Álvaro Fernández Armero,True,"Tamar Novas, Verónica Forqué, Andrea Ros, Peter Vives, Fermí Reixach, Yan Huang, Daniel Barea Cabrera, Sergio Pozo, Natalia Agüero Avecilla",True,"Raúl, Rocío, Paula, Pablo, Antonio, Traductora, Alberto, Lozano, Neiborgh",10,102.0,Long,Not Rated,5.7,True,6.3,True,6.3,6.3,6.15,16.617,Medium,121,1502,ES,es,False,False,True,True,True,True
1000 Rupee Note,,,s5697,Movie,True,Drama,"Drama, International",2014,2010,12,False,2016-12-01,True,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",23,15.0,Shrihari Sathe,True,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",True,Unknown,0,89.0,Standard,TV-14,,False,,False,,,,,Very Low,0,0,India,,False,False,True,True,False,False
"10,000 BC",tt0443649,tm700,s5982,Movie,True,Action,"Action, Drama, Fantasy, History, Thriller",2008,2000,18,False,2019-06-01,True,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,20,9.0,Roland Emmerich,True,"Steven Strait, Camilla Belle, Cliff Curtis, Nathanael Baring, Mo Zinal, Affif Ben Badra, Mona Hammond, Marco Khan, Reece Ritchie, Joel Fry",True,"D’Leh, Evolet, Tic-Tic, Baku, Ka’Ren, Warlord, Old Mother, One-Eye, Moha, Lu’Kibu",43,109.0,Long,PG-13,5.1,True,5.4,True,,,5.25,24.671,Medium,0,130813,"US, ZA",,False,False,True,True,False,False
11M,tt6275154,tm1172600,,Movie,True,Documentary,Documentary,2022,2020,4,True,,False,"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",23,3.0,José Gómez,True,,False,Unknown,1,92.0,Long,Not Rated,7.0,True,6.16,True,,,6.58,24.139,Medium,0,1868,ES,,False,False,True,True,False,True
12 ROUND GUN,,,s5986,Movie,True,Drama,"Drama, Independent, Sports",2017,2010,9,False,2019-03-14,True,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",26,12.0,Sam Upton,True,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",True,Unknown,0,90.0,Long,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
12 Strong,tt1413492,tm313149,,Movie,True,Drama,"Drama, Action, War, History",2018,2010,8,False,,False,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,23,9.0,,False,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Austin Stowell, Ben O'Toole, Jack Kesy",True,"Captain Mitch Nelson, Chief Warrant Officer Hal Spencer, Sgt First Class Sam Diller, General Dostum, Sgt First Class Ben Milo, Sean Coffers, Vern Michaels, Fred Falls, Scott Black, Charles Jones",55,131.0,Very Long,R,6.5,True,6.2,True,6.334,6.334,6.34,67.199,High,2993,79980,US,en,False,False,True,True,True,True
12 Years Promise,,,s5987,TV Show,False,International,"International, Romance",2014,2010,12,False,2017-05-22,True,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",28,16.0,,False,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",True,Unknown,0,,Unknown,TV-14,,False,,False,,,,,Very Low,0,0,South Korea,,False,False,True,True,False,False
122,tt7867670,tm405637,s2444,Movie,True,Horror,"Horror, Thriller",2019,2010,7,False,2020-06-01,True,"During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.",23,3.0,Yasir Al-Yasiri,True,"Ahmed Dawood, Amina Khalil, Tarek Lotfy, Mohamed Mamdouh, Ahmed Al Fishawy, Mohamed Lotfy, Mahmoud Hegazy, Gehan Khalil, Asmaa Galal, Tara Emad",True,"Nasr, Umniah, Nabil, Emad, Amjad, Unknown, Mohammed, Samar, Samar, Unknown",12,95.0,Long,R,6.0,True,6.0,True,,,6.0,3.717,Low,0,5563,EG,,False,False,True,True,False,False
13 Cameras,,,s5988,Movie,True,Horror,"Horror, Independent, Thriller",2015,2010,11,False,2016-08-13,True,"Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",23,10.0,Victor Zarcoff,True,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",True,Unknown,0,90.0,Long,Not Rated,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
13 Reasons Why,tt1837492,ts42294,,TV Show,False,Drama,"Drama, Thriller",2017,2010,9,False,,False,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",21,14.0,,False,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe, Brandon Flynn, Justin Prentice, Miles Heizer, Ross Butler, Devin Druid, Timothy Granaderos",True,"Clay Jensen, Ani Achola, Tony Padilla, Jessica Davis, Justin Foley, Bryce Walker, Alex Standall, Zach Dempsey, Tyler Down, Montgomery de la Cruz",16,58.0,Series,TV-MA,7.5,True,7.748,True,,,7.62,80.574,High,0,286015,US,,False,True,False,True,False,True
13 Reasons Why,,,s2418,TV Show,False,Crime,"Crime, Drama, Mystery",2020,2020,6,False,2020-06-05,True,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",21,14.0,,False,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,True,True,True,False,False
13 Reasons Why: Beyond the Reasons,tt8615966,ts82424,,TV Show,False,Documentary,Documentary,2017,2010,9,False,,False,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",21,34.0,,False,"Jay Asher, Dylan Minnette, Katherine Langford, Kate Walsh, Selena Gomez",True,"Self, Self, Self, Self, Self",5,42.0,Series,TV-MA,6.2,True,6.5,True,,,6.35,11.431,Medium,0,328,US,,False,True,False,True,False,True
13 Reasons Why: Beyond the Reasons,,,s3562,TV Show,False,Crime,"Crime, Docuseries",2019,2010,7,False,2019-08-23,True,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",21,34.0,,False,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,True,True,True,False,False
13 Sins,,,s5989,Movie,True,Horror,"Horror, Thriller",2014,2010,12,False,2019-01-13,True,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",28,7.0,Daniel Stamm,True,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",True,Unknown,0,93.0,Long,R,,False,,False,6.3,6.3,6.3,21.946,Medium,1111,0,United States,en,False,False,True,True,True,False
137 Shots,tt16379224,tm1137797,,Movie,True,Documentary,"Documentary, Crime",2021,2020,5,True,,False,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",20,9.0,Michael Milano,True,,False,Unknown,1,104.0,Long,R,6.2,True,6.9,True,,,6.55,2.992,Low,0,869,,,False,False,True,True,False,True
13th,tt5895028,tm244788,s5758,Movie,True,Documentary,"Documentary, History, Crime",2016,2010,10,False,2016-10-07,True,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,21,4.0,Ava DuVernay,True,"Jelani Cobb, Angela Davis, Henry Louis Gates, Jr., Michelle Alexander, Cory Booker, Marie Gottschalk, Michael Hough, Gina Clayton, David Keene, James Kilgore",True,"Self, Self, Self, Self, Self, Self, Self, Self, Self, Self",32,100.0,Long,TV-MA,8.2,True,8.0,True,7.9,7.9,8.0,8.675,Low,746,35302,US,en,True,False,True,True,True,False
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,,s5990,Movie,True,Other,Other,2017,2010,9,False,2017-01-26,True,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",22,54.0,,False,"Oprah Winfrey, Ava DuVernay",True,Unknown,0,37.0,Short,Not Rated,,False,,False,,,,,Very Low,0,0,,,True,False,True,True,False,False
14 Blades,,,s5991,Movie,True,Drama,"Drama, Action, Thriller",2010,2010,16,False,2019-04-03,True,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",42,9.0,Daniel Lee,True,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu",True,Unknown,0,113.0,Long,R,,False,,False,6.3,6.3,6.3,11.469,Medium,196,0,"Hong Kong, China, Singapore",zh,False,False,True,True,True,False
14 Cameras,,,s5992,Movie,True,Horror,"Horror, Thriller",2018,2010,8,False,2018-10-27,True,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",21,10.0,"Scott Hussion, Seth Fuller",True,"Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",True,Unknown,0,89.0,Standard,TV-MA,,False,,False,5.0,5.0,5.0,7.155,Low,92,0,United States,en,False,False,True,True,True,False
14 Minutes from Earth,,,s4136,Movie,True,Documentary,Documentary,2016,2010,10,False,2019-02-01,True,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,20,21.0,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",True,,False,Unknown,0,84.0,Standard,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
14 Peaks: Nothing Is Impossible,tt14079374,tm1119272,,Movie,True,Documentary,"Documentary, Sports",2021,2020,5,True,,False,"In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.",74,31.0,Torquil Jones,True,"Nirmal Purja, Jimmy Chin, Reinhold Messner, Klára Kolouchová, Conrad Anker",True,"Himself, Himself, Himself, Herself, Himself (archive footage)",6,101.0,Long,Not Rated,7.7,True,7.5,True,7.3,7.3,7.45,22.226,Medium,320,24213,US,en,False,False,True,True,True,True
15 August,tt9817300,tm461427,s3963,Movie,True,Romance,"Romance, Drama",2019,2010,7,False,2019-03-29,True,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",28,9.0,Swapnaneel Jayakar,True,"Rahul Pethe, Adinath Kothare, Renuka Sahane, Vaibhav Mangale, Nayana Apte, Jaywant Wadkar, Uday Tikekar, Satish Phulekar, Mrunmayee Deshpande",True,"Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",10,124.0,Very Long,TV-14,5.7,True,7.0,True,,,6.35,2.559,Low,0,273,IN,,True,False,True,True,False,False
15-Aug,,,s5967,Movie,True,Comedy,"Comedy, Drama, Independent",2019,2010,7,False,2019-03-29,True,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",28,6.0,Swapnaneel Jayakar,True,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",True,Unknown,0,124.0,Very Long,TV-14,,False,,False,,,,,Very Low,0,0,India,,False,False,True,True,False,False
16 Blocks,,,s5993,Movie,True,Action,Action,2006,2000,20,False,2019-11-01,True,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",27,9.0,Richard Donner,True,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz",True,Unknown,0,102.0,Long,PG-13,,False,,False,,,,,Very Low,0,0,"United States, Germany",,False,False,True,True,False,False
17 Again,,,s5994,Movie,True,Comedy,Comedy,2009,2000,17,False,2021-01-01,True,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",26,8.0,Burr Steers,True,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",True,Unknown,0,102.0,Long,PG-13,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
18 Presents,tt10816484,tm843938,s2551,Movie,True,Drama,"Drama, Fantasy, European",2020,2020,6,False,2020-05-08,True,"Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.",51,11.0,Francesco Amato,True,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betti Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli, Laura Obiols",True,"Elisa Girotto, Anna, Alessio, Carla, Nonno, Nonna, Walter, Unknown, Unknown, Vittoria",18,110.0,Long,TV-MA,6.9,True,7.5,True,7.4,7.4,7.3,10.49,Medium,679,3791,IT,it,False,False,True,True,True,False
187,,,s5961,Movie,True,Drama,Drama,1997,1990,29,False,2019-11-01,True,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",41,3.0,Kevin Reynolds,True,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",True,Unknown,0,119.0,Long,R,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
1898: Our Last Men in the Philippines,,,s5444,Movie,True,War,"War, Drama, History",2016,2010,10,False,2017-06-02,True,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",21,37.0,Salvador Calvo,True,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",True,Unknown,0,130.0,Very Long,R,,False,,False,6.5,6.5,6.5,9.19,Low,166,0,Spain,es,False,False,True,True,True,False
1920,,,s5963,Movie,True,Horror,"Horror, International, Thriller",2008,2000,18,False,2017-12-15,True,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,26,4.0,Vikram Bhatt,True,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",True,Unknown,0,143.0,Very Long,TV-MA,,False,,False,,,,,Very Low,0,0,India,,False,False,True,True,False,False
1922,tt6214928,tm317542,s5208,Movie,True,Horror,"Horror, Drama, Documentary, Crime, Thriller",2017,2010,9,False,2017-10-20,True,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",19,4.0,Zak Hilditch,True,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Neal McDonough, Tanya Champoux, Brian d'Arcy James, Bob Frazer, Eric Keenleyside, Patrick Keating",True,"Wilfred James, Arlette James, Henry James, Shannon Cotterie, Harlan Cotterie, Sallie, Sheriff Jones, Andrew Lester, Lars, Mr. Stoppenhauser",23,101.0,Long,TV-MA,6.2,True,5.9,True,5.932,5.932,5.99,17.275,Medium,2754,62508,US,en,True,False,True,True,True,False
1983,tt7371666,ts84335,s4351,TV Show,False,Drama,"Drama, Thriller, Crime",2018,2010,8,False,2018-11-30,True,"Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state.",54,4.0,,False,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Zofia Wichłacz, Agnieszka Żulewska",True,"inspektor Anatol Janów, oficer BBI Milicji, Kajetan Skowron, Ofelia ""Effy"" Ibrom, Władysław Lis, ojciec Karoliny, minister gospodarki narodowej, Karolina Lis, dziewczyna Kajetana, Maja Skowron, matka Kajetana",6,57.0,Series,TV-MA,6.7,True,6.5,True,,,6.6,9.601,Low,0,4169,PL,,False,False,True,True,False,False
1994,tt10243640,ts90995,s3809,TV Show,False,Documentary,"Documentary, History",2019,2010,7,False,2019-05-17,True,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",26,4.0,Diego Enrique Osorno,True,"Luis Donaldo Colosio, Carlos Salinas de Gortari",True,"Himself (archive footage), Himself",2,178.0,Series,TV-MA,7.6,True,8.7,True,,,8.15,2.626,Low,0,524,MX,,False,False,True,True,False,False
1BR,tt7541106,tm817504,s5995,Movie,True,Thriller,"Thriller, Drama, Horror",2019,2010,7,False,2020-08-23,True,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her.",82,3.0,David Marmor,True,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Naomi Grossman, Celeste Sullivan, Susan Davis, Clayton Hoff, Earnestine Phillips, Hailey Giles",True,"Sarah, Brian, Jerry, Sarah's Father, Janice, Lisa, Miss Stanhope, Lester, Esther, Diane",24,90.0,Long,TV-MA,5.8,True,6.1,True,6.013,6.013,5.98,15.943,Medium,463,12397,US,en,False,False,True,True,True,False
